category,order_value,name
Books,34.58,The Art of Python
Toys,69.42,Plush Bear
Toys,127.33,Building Blocks Set
Clothing,92.11,Summer Dress
Electronics,428.96,Smartwatch Fit+2
Toys,72.26,Action Hero Figure
Books,53.94,The Art of Python
Electronics,188.29,Smartwatch Fit+2
Toys,85.93,Remote Control Car
Books,57.12,Mystery of the Mind
Home,184.16,Wall Clock
Home,212.91,Ceramic Vase
Clothing,70.95,Summer Dress
Electronics,442.73,Smartphone X200
Clothing,93.88,Leather Jacket
Books,60.21,The Art of Python
Electronics,474.07,4K Ultra TV
Clothing,79.68,Leather Jacket
Clothing,107.95,Hooded Sweatshirt
Home,80.08,Silk Curtains
Toys,114.15,Remote Control Car
Clothing,90.43,Hooded Sweatshirt
Clothing,106.02,Summer Dress
Books,49.62,The Art of Python
Clothing,91.7,Slim Fit Jeans
Electronics,536.35,Wireless Headphones
Clothing,50.49,Slim Fit Jeans
Electronics,332.08,Smartwatch Fit+2
Electronics,280.48,Smartwatch Fit+2
Clothing,55.52,Slim Fit Jeans
Clothing,92.49,Summer Dress
Toys,108.73,Plush Bear
Clothing,81.33,Cotton T-Shirt
Home,175.21,Silk Curtains
Home,171.11,Ceramic Vase
Electronics,285.97,Smartwatch Fit+2
Home,115.6,Ceramic Vase
Electronics,87.64,Wireless Headphones
Toys,82.77,Kids Puzzle 100pc
Electronics,322.55,Bluetooth Speaker Pro
Clothing,100.21,Slim Fit Jeans
Electronics,440.32,Smartwatch Fit+2
Toys,98.29,Remote Control Car
Home,198.25,Modern Lamp
Home,186.36,Silk Curtains
Electronics,337.2,Bluetooth Speaker Pro
Books,66.08,Data Science Essentials
Electronics,331.61,Bluetooth Speaker Pro
Books,38.32,Modern Fiction Tales
Electronics,363.88,Smartwatch Fit+2
Electronics,342.48,Bluetooth Speaker Pro
Electronics,369.17,4K Ultra TV
Clothing,62.39,Cotton T-Shirt
Home,97.48,Wooden Chair
Electronics,298.31,4K Ultra TV
Books,38.36,Data Science Essentials
Clothing,60.19,Slim Fit Jeans
Home,173.85,Ceramic Vase
Clothing,112.8,Summer Dress
Clothing,145.02,Slim Fit Jeans
Home,140.81,Wooden Chair
Electronics,229.43,Bluetooth Speaker Pro
Electronics,199.67,4K Ultra TV
Books,61.84,Modern Fiction Tales
Toys,116.65,Action Hero Figure
Clothing,85.65,Cotton T-Shirt
Clothing,55.42,Cotton T-Shirt
Home,169.36,Wooden Chair
Clothing,76.34,Cotton T-Shirt
Electronics,218.5,Bluetooth Speaker Pro
Electronics,353.03,Smartwatch Fit+2
Books,60.84,Data Science Essentials
Home,119.64,Wall Clock
Electronics,417.0,Smartphone X200
Electronics,311.54,Wireless Headphones
Electronics,361.89,Bluetooth Speaker Pro
Home,176.67,Wall Clock
Electronics,197.88,Wireless Headphones
Electronics,365.09,Smartphone X200
Books,50.62,Mystery of the Mind
Electronics,413.77,Bluetooth Speaker Pro
Home,147.09,Ceramic Vase
Electronics,170.37,Bluetooth Speaker Pro
Electronics,352.2,Bluetooth Speaker Pro
Electronics,210.73,Smartwatch Fit+2
Books,49.91,Mystery of the Mind
Books,36.5,Historical Journeys
Books,31.73,The Art of Python
Clothing,35.91,Summer Dress
Home,171.19,Silk Curtains
Electronics,224.46,Smartwatch Fit+2
Clothing,96.42,Cotton T-Shirt
Books,61.48,Modern Fiction Tales
Electronics,355.83,Smartphone X200
Electronics,367.2,4K Ultra TV
Electronics,304.72,Bluetooth Speaker Pro
Electronics,334.85,Bluetooth Speaker Pro
Electronics,331.95,Smartwatch Fit+2
Home,177.61,Silk Curtains
Clothing,98.24,Hooded Sweatshirt
Books,68.97,Data Science Essentials
Books,38.36,Mystery of the Mind
Clothing,104.31,Summer Dress
Clothing,88.78,Slim Fit Jeans
Clothing,96.75,Slim Fit Jeans
Home,207.56,Modern Lamp
Clothing,62.06,Cotton T-Shirt
Home,76.67,Silk Curtains
Clothing,152.38,Hooded Sweatshirt
Home,103.67,Wall Clock
Clothing,100.13,Summer Dress
Clothing,61.87,Cotton T-Shirt
Toys,108.17,Plush Bear
Books,67.66,Historical Journeys
Electronics,421.9,Smartphone X200
Books,47.68,Data Science Essentials
Clothing,81.18,Slim Fit Jeans
Books,66.04,Historical Journeys
Books,51.36,The Art of Python
Clothing,82.96,Cotton T-Shirt
Electronics,281.9,Smartphone X200
Clothing,72.31,Cotton T-Shirt
Home,147.54,Wall Clock
Home,165.0,Wall Clock
Clothing,59.28,Leather Jacket
Electronics,293.85,Bluetooth Speaker Pro
Books,69.0,Modern Fiction Tales
Toys,132.54,Remote Control Car
Home,102.03,Wooden Chair
Electronics,486.44,Wireless Headphones
Clothing,130.01,Slim Fit Jeans
Electronics,193.86,Smartwatch Fit+2
Toys,112.09,Plush Bear
Electronics,313.56,Wireless Headphones
Home,85.77,Modern Lamp
Clothing,71.09,Summer Dress
Home,136.41,Silk Curtains
Home,89.42,Wooden Chair
Books,79.2,The Art of Python
Electronics,387.56,Wireless Headphones
Electronics,337.69,Smartwatch Fit+2
Electronics,344.97,4K Ultra TV
Toys,115.21,Remote Control Car
Books,38.73,Data Science Essentials
Home,157.85,Silk Curtains
Home,98.17,Wooden Chair
Home,189.34,Wall Clock
Electronics,345.79,4K Ultra TV
Toys,76.22,Plush Bear
Clothing,75.19,Hooded Sweatshirt
Clothing,47.5,Cotton T-Shirt
Home,181.61,Wooden Chair
Electronics,309.78,Smartwatch Fit+2
Electronics,207.67,Wireless Headphones
Books,27.38,Modern Fiction Tales
Electronics,367.36,Smartphone X200
Home,23.93,Modern Lamp
Electronics,210.67,Bluetooth Speaker Pro
Clothing,104.14,Slim Fit Jeans
Clothing,88.47,Hooded Sweatshirt
Clothing,74.64,Summer Dress
Books,33.45,Data Science Essentials
Clothing,105.37,Cotton T-Shirt
Home,108.29,Modern Lamp
Clothing,119.79,Hooded Sweatshirt
Home,176.78,Silk Curtains
Toys,62.18,Building Blocks Set
Books,49.59,Mystery of the Mind
Electronics,316.06,Smartphone X200
Electronics,417.25,Wireless Headphones
Clothing,65.19,Slim Fit Jeans
Home,135.02,Silk Curtains
Electronics,338.92,Bluetooth Speaker Pro
Clothing,99.52,Cotton T-Shirt
Home,133.59,Modern Lamp
Clothing,86.87,Leather Jacket
Books,54.91,Historical Journeys
Electronics,338.17,4K Ultra TV
Electronics,449.52,Bluetooth Speaker Pro
Books,49.91,Data Science Essentials
Clothing,89.61,Slim Fit Jeans
Home,150.63,Ceramic Vase
Clothing,117.95,Slim Fit Jeans
Electronics,362.28,4K Ultra TV
Books,61.58,Modern Fiction Tales
Books,34.47,Data Science Essentials
Home,102.7,Wooden Chair
Clothing,97.49,Leather Jacket
Home,202.77,Modern Lamp
Clothing,72.6,Hooded Sweatshirt
Electronics,215.78,Wireless Headphones
Toys,140.56,Remote Control Car
Electronics,281.69,Bluetooth Speaker Pro
Toys,117.01,Remote Control Car
Books,69.16,Historical Journeys
